	Bayesian Skyline: hcv_coal.log			
time	date	datetime	milliseconds	mean	median	upper	lower
1993.0	1992-12-30	1992-12-30T23:00:00	725756400710	8168.762518494606	7564.477600983741	15799.783460890125	3882.3219328104233
1989.6915011863455	1989-09-09	1989-09-09T08:33:02	621333182122	8121.476682415066	7596.830446592694	15065.845102823801	4045.2455637692647
1986.383002372691	1986-05-19	1986-05-19T18:06:03	516909963536	8145.252791422752	7607.914118836919	15164.862793352833	4115.620746261241
1983.0745035590364	1983-01-27	1983-01-27T03:39:04	412486744948	8162.056193629245	7642.540173013595	15164.862793352833	4123.498171462172
1979.766004745382	1979-10-06	1979-10-06T13:12:06	308063526361	8186.137801488065	7642.540173013595	15538.883997344337	4123.498171462172
1976.4575059317274	1976-06-14	1976-06-14T22:45:07	203640307773	8189.354617056604	7651.956830794045	15538.883997344337	4123.498171462172
1973.1490071180729	1973-02-23	1973-02-23T08:18:09	99303489186	8199.64594849749	7662.618502844382	15538.883997344337	4123.498171462172
1969.8405083044183	1969-11-02	1969-11-02T17:51:11	-5119729401	8209.055494856835	7668.64792027438	15538.883997344337	4159.5451446430625
1966.5320094907638	1966-07-13	1966-07-13T03:24:13	-109542947989	8243.67808557431	7668.64792027438	15799.783460890125	4159.5451446430625
1963.2235106771093	1963-03-22	1963-03-22T12:57:14	-213966166575	8238.578832657167	7662.618502844382	15799.783460890125	4159.5451446430625
1959.9150118634548	1959-11-29	1959-11-29T22:30:15	-318389385163	8243.634366100394	7662.618502844382	15830.428527084097	4159.5451446430625
1956.6065130498002	1956-08-08	1956-08-08T08:03:17	-422812603750	8243.496381186125	7656.872210370252	15830.428527084097	4159.5451446430625
1953.2980142361457	1953-04-18	1953-04-18T17:36:18	-527149422337	8245.773761693768	7651.956830794045	15830.428527084097	4123.498171462172
1949.9895154224912	1949-12-27	1949-12-27T03:09:20	-631572640925	8197.482634751992	7589.666277162636	15830.428527084097	4039.276909856988
1946.6810166088367	1946-09-05	1946-09-05T12:42:21	-735995859512	8051.144184832145	7503.318261513238	15830.428527084097	2210.37065705492
